Sukunimi;Yhteensä
Näpärä;36
Napari;85
Napola;37
Nappa;21
Näppä;188
Nappar;20
Nappari;74
Näppi;181
Näppilä;65
Näppinen;74
Nappu;20
Närä;49
Näräkkä;45
Näränen;200
Näre;24
Näreaho;117
Närhi;1757
Närhinen;66
Näriäinen;62
Narikka;20
Narinen;195
Narkaus;43
Narkilahti;71
Narkiniemi;64
Närkki;59
Narko;20
Narmala;33
Nars;59
Narsakka;43
Narva;67
Närvä;280
Närväinen;63
Närvänen;399
Narvanto;23
Narvi;26
Näs;46
Näsälä;34
Näsänen;252
Näse;94
Nasi;53
Näsi;323
Näsinlinna;24
Naskali;534
Naski;239
Näslund;38
Näsman;266
Nasser;21
Nässi;60
Nässling;38
Nastolin;35
Nätkin;48
Nätkinniemi;36
Natri;271
Nätti;94
Nättiaho;30
Nattila;22
Nättilä;65
Nättinen;131
Nättylä;20
Natunen;605
Nätynki;243
Nauha;264
Naukkarinen;1332
Naula;47
Naulapää;90
Naumanen;904
Naumi;25
Nauska;99
Navarro;23
Näveri;255
Näyhä;63
Näyhö;21
Näykki;209
Näyrä;32
Nazari;69
Nazarov;27
Nazarova;21
Ndiaye;41
Nedergård;60
Nedermo;32
Nederström;29
Neejärvi;30
Neffling;50
Nehvonen;35
Neiglick;68
Neijonen;98
Neirola;21
Neitola;100
Neittaanmäki;34
Neittamo;47
Nekkonen;36
Nekkula;30
Nelimarkka;233
Nelin;43
Nelskylä;21
Nelson;95
Nemes;24
Nemlander;127
Nenola;69
Nenonen;1928
Nenye;25
Neovius;48
Nepponen;37
Nerdrum;20
Nerg;260
Nerman;40
Neronen;30
Nertamo;26
Nervander;24
Nessling;30
Neste;108
Nesterinen;23
Nettamo;23
Neulanen;47
Neulaniemi;55
Neuman;88
Neumann;38
Neuvo;30
Neuvonen;1808
Neva;176
Nevala;2166
Nevalainen;5309
Nevalampi;38
Nevamäki;32
Nevander;60
Nevanen;50
Nevanlinna;123
Nevanoja;56
Nevanpää;159
Nevanperä;479
Nevanranta;44
Nevantaus;31
Nevaranta;76
Nevasaari;108
Nevasalmi;40
Nevasalo;30
Nevatalo;20
Nevavuori;24
Neziri;45
Ngo;80
Nguyen;1469
Nguyên;34
Niang;21
Nicholls;25
Nick;61
Nicklén;22
Nickström;34
Nickull;42
Niekka;74
Niela;27
Nielikäinen;97
Nielsen;206
Niemelä;8268
Niemeläinen;610
Niemelin;27
Niemenkari;20
Niemenmaa;504
Niemenoja;28
Niemenpää;68
Niemensivu;71
Niemetmaa;30
Niemi;14029
Niemiaho;104
Niemi-Aro;20
Niemikorpi;204
Niemi-Korpi;321
Niemilä;59
Niemimaa;106
Niemimäki;170
Niemimuukko;35
Nieminen;19668
Niemi-Nikkola;71
Niemioja;24
Niemipelto;28
Niemi-Pynttäri;22
Niemisalo;62
Niemistö;828
Niemitalo;205
Niemonen;246
Nieppola;58
Niesniemi;23
Nietola;27
Nietosjärvi;24
Nietosvaara;27
Nietula;177
Nihti;75
Nihtilä;165
Nihtinen;49
Niikko;45
Niikkonen;40
Niilekselä;72
Niiles;63
Niilola;90
Niilonen;33
Niilo-Rämä;79
Niini;97
Niiniaho;77
Niiniharju;42
Niinijärvi;44
Niinikangas;45
Niiniketo;33
Niinikorpi;43
Niinikoski;517
Niinilammi;24
Niinilampi;30
Niiniluoto;20
Niinimaa;194
Niinimäki;1092
Niininen;581
Niinioja;35
Niiniranta;25
Niinisaari;42
Niinisalo;185
Niiniskorpi;29
Niinistö;332
Niinivaara;162
Niiniviita;91
Niinivirta;209
Niinivuo;23
Niinivuori;32
Niippa;25
Niiranen;2626
Niironen;48
Niitamo;33
Niitti;22
Niittonen;27
Niittula;23
Niittumaa;36
Niittumäki;58
Niittunen;31
Niittyaho;32
Niittyaro;22
Niittykoski;63
Niittylä;138
Niittylahti;84
Niittymaa;108
Niittymäki;716
Niittynen;302
Niittyniemi;67
Niittyranta;25
Niittyviita;28
Niittyvuopio;87
Niitynpää;51
Niitynperä;29
Niiva;46
Nikali;38
Nikama;42
Nikamaa;60
Nikander;1154
Nikanto;26
Nikara;30
Nikiforow;31
Nikitin;166
Nikitina;33
Nikka;242
Nikkanen;1613
Nikkari;358
Nikkarikoski;72
Nikkarinen;144
Nikkarla;25
Nikkeri;25
Nikki;345
Nikkilä;1397
Nikkinen;1402
Nikko;159
Nikkola;599
Nikkonen;270
Nikku;142
Niklander;164
Niklas-Salminen;21
Nikmo;35
Nikola;237
Nikolaev;34
Nikolaeva;33
Nikolajew;21
Nikolov;26
Nikonen;74
Nikoskelainen;36
Nikoskinen;50
Niku;143
Nikula;2432
Nikulainen;602
Nikulin;43
Nikumaa;48
Nikumatti;57
Nikunen;467
Nikunlassi;68
Nikupaavo;57
Nikupeteri;160
Nikurautio;59
Nikuri;21
Nikusaari;24
Nilimaa;68
Nilivaara;54
Nilosaari;61
Nilsen;93
Nilsén;37
Nilsson;1017
Nimell;57
Nimetön;23
Nio;70
Nippala;106
Nippula;32
Nipuli;106
Nirhamo;61
Nirhola;23
Nirkko;131
Nirkkonen;156
Nironen;281
Nirvi;21
Niska;504
Niskajärvi;21
Niskakangas;273
Niskakoski;174
Niskala;1341
Niskanen;6797
Niskasaari;259
Niskavaara;90
Nisonen;251
Nissén;34
Nissfolk;33
Nissi;590
Nissilä;1309
Nissinaho;76
Nissinen;4216
Nisu;51
Nisukangas;59
Nisula;1126
Nisumaa;49
Nisumäki;28
Nisunen;37
Nitovuori;44
Niukkala;21
Niukkanen;251
Niura;24
Niutanen;141
Niva;966
Nivajärvi;25
Nivakoski;49
Nivala;769
Nivalainen;185
Nivalinna;26
Nivamo;35
Nivanaho;23
Nivasalo;28
Nivell;26
Niveri;56
Nivukoski;66
Nivus;38
Nixholm;21
Njie;77
Nohkola;36
Nohteri;24
Noiva;24
Nöjd;202
Nojonen;213
Nokela;128
Nokelainen;940
Noki;37
Nokia;46
Nokio;23
Nokka;125
Nokkala;251
Nokkanen;108
Nokkonen;175
Nokkosmäki;31
Nokso;62
Nokso-Koivisto;62
Nokua;35
Nolvi;150
Noopila;29
Noor;35
Noori;58
Nopanen;252
Noponen;549
Noppa;82
Noppari;49
Nora;99
Noras;22
Norbäck;22
Norberg;86
Nord;171
Nordback;35
Nordbäck;104
Nordberg;945
Nordblad;92
Nordblom;113
Nordell;71
Nordensved;25
Nordenswan;117
Nordfors;94
Nordgren;249
Nordin;188
Nordkvist;27
Nordlin;40
Nordling;458
Nordlund;1360
Nordman;1311
Nordmyr;84
Nordquist;29
Nordqvist;329
Nordström;1951
Nordvall;86
Nore;41
Norell;26
Norén;32
Norgård;26
Norha;46
Norhomaa;24
Nori;62
Norilo;21
Norja;137
Norjamäki;25
Norkio;25
Norkko;36
Norkola;32
Norman;109
Normi;21
Normia;21
Noro;87
Noroaho;47
Norojärvi;52
Norokorpi;51
Norola;84
Norolahti;41
Noronen;233
Norontaus;40
Norpo;49
Norppa;158
Norr;20
Norra;29
Norräng;21
Norrback;183
Norrbäck;31
Norrbacka;130
Norrbo;23
Norrby;81
Norrdahl;28
Norrena;184
Norres;29
Norrgård;875
Norrgran;26
Norrgrann;121
Norrholm;41
Norri;135
Norrila;28
Norring;115
Norris;21
Norrkniivilä;31
Norrlin;45
Norrlund;27
Norrman;146
Norrmén;28
Norro;26
Norros;35
Norrvik;57
Norta;37
Nortamo;68
Nortunen;117
Norvanto;20
Norvapalo;44
Norvio;20
Nosa;24
Noso;35
Nostaja;47
Notko;50
Notkola;98
Notkonen;60
Noukka;45
Noukkala;51
Nouri;26
Nousiainen;4176
Nousimaa;23
Nousjoki;23
Nousu;43
Noutere;22
Novikova;34
Novitsky;20
Nowak;30
Nuija;76
Nuijanmaa;21
Nuikka;86
Nuikkinen;24
Nukala;101
Nukari;177
Nukarinen;255
Nukki;41
Nulpponen;52
Numelin;23
Nummela;1685
Nummelin;925
Nummenmaa;46
Nummenpää;197
Nummenranta;46
Nummensalo;21
Nummi;981
Nummijärvi;76
Nummijoki;65
Nummikari;34
Nummikoski;92
Nummila;354
Numminen;1336
Nummiranta;25
Nummisalo;23
Nummisto;56
Nuojua;169
Nuolikoski;89
Nuolioja;150
Nuolivirta;49
Nuopponen;180
Nuora;366
Nuorala;313
Nuoramo;31
Nuoranne;47
Nuorela;23
Nuorgam;81
Nuorinko;20
Nuoritalo;30
Nuorivaara;30
Nuorivuori;20
Nuorsaari;20
Nuorteva;78
Nuorti;37
Nuortie;21
Nuortila;22
Nuortimo;47
Nuortio;35
Nuorva;24
Nuotio;517
Nuotiomaa;23
Nuottajärvi;59
Nuottanen;23
Nuottimäki;46
Nuppola;131
Nupponen;702
Nuppula;52
Nuppunen;37
Nur;167
Nura;23
Nurhonen;102
Nuri;75
Nurila;23
Nurisalo;47
Nurkka;252
Nurkkala;659
Nurkkanen;26
Nurkka-Tuorila;22
Nurkki;21
Nurme;49
Nurmela;1646
Nurmenniemi;139
Nurmenrinta;21
Nurmentaus;26
Nurmesjärvi;31
Nurmesniemi;124
Nurmi;8249
Nurmiainen;111
Nurmikari;33
Nurmikko;47
Nurmikolu;83
Nurmikoski;39
Nurmikumpu;61
Nurmilaakso;43
Nurmilaukas;144
Nurmilo;21
Nurmimaa;21
Nurmimäki;142
Nurminen;6426
Nurminiemi;41
Nurminoro;20
Nurmio;314
Nurmiranta;163
Nurmirinta;29
Nurmisto;206
Nurmivaara;66
Nurmivuori;21
Nurmo;41
Nurmonen;25
Nurmoranta;41
Nurmos;26
Nurro;265
Nurttila;23
Nuru;24
Nurvala;23
Nurvo;43
Nutikka;25
Nuto;56
Nuttunen;101
Nuuja;41
Nuur;82
Nuutila;254
Nuutilainen;78
Nuutinen;3636
Nuutti;24
Nuuttila;302
Nuuttinen;28
Nyback;85
Nybäck;196
Nybacka;287
Nyberg;2785
Nybergh;75
Nybjörk;25
Nyblom;188
Nybo;35
Nybohm;28
Nybom;153
Nybond;23
Nybondas;68
Nybonn;21
Nyby;70
Nybyggar;22
Nyfelt;132
Nyfors;213
Nygård;1888
Nygårds;28
Nygren;654
Nygrén;198
Nyholm;1747
Nykamb;26
Nykänen;5145
Nykky;44
Nykopp;178
Nykter;39
Nykulla;24
Nykung;34
Nykvist;280
Nykyri;172
Nyländen;44
Nylander;673
Nylén;89
Nylund;3126
Nymalm;43
Nyman;6958
Nymander;53
Nymark;152
Nynäs;158
Nypelö;44
Nyppeli;43
Nyqvist;735
Nyrhi;35
Nyrhilä;143
Nyrhinen;581
Nyrkkö;51
Nyrönen;223
Nyroos;187
Nyrövaara;21
Nysand;22
Nystedt;203
Nysten;94
Nystén;149
Nystrand;91
Nyström;1824
Nytorp;57
Nyvall;50
Nyykooli;28
Nyyssölä;204
Nyyssönen;1493
Nyysti;33
Nyystilä;20
Öberg;157
Öblom;87
O'Brien;42
O'Connell;21
O'Connor;51
Odell;30
Oesch;94
Öfverberg;48
Öfverström;42
Ögård;54
Öhberg;210
Ohenoja;151
Ohinmaa;43
Ohisalo;47
Ohlis;40
Ohls;107
Ohlsbom;51
Ohlson;27
Ohlsson;41
Ohlström;42
Öhman;1337
Ohra-aho;168
Ohralahti;43
Ohraluoma;34
Ohramaa;48
Ohranen;84
Ohrankämmen;52
Öhrling;52
Öhrnberg;55
Ohtamaa;287
Ohtola;43
Ohtonen;855
Ohukainen;52
Ohvanainen;60
Ohvo;321
Oijala;27
Oijennus;54
Oijusluoma;55
Oikarainen;472
Oikari;618
Oikarinen;2302
Oikia;23
Oikkonen;299
Oikuri;25
Oila;53
Oilinki;99
Oinaala;24
Oinaanoja;33
Oinas;812
Oinasmaa;43
Oino;33
Oinonen;2727
Oittinen;563
Oiva;155
Oivanen;173
Oivaranta;24
Oivio;32
Oivo;113
Oivukka;21
Oja;1288
Ojaharju;27
Ojainmaa;72
Ojajärvi;259
Ojakangas;106
Oja-Kaukola;23
Ojakoski;153
Ojala;10587
Ojalainen;176
Ojalammi;79
Ojalehto;510
Oja-Lipasti;35
Ojaluoma;82
Ojamaa;110
Ojamäki;97
Ojamies;46
Ojamo;209
Ojanaho;132
Ojanen;2781
Ojaniemi;562
Oja-Nisula;56
Ojanlatva;47
Ojanne;79
Ojanpää;47
Ojanperä;1366
Ojansivu;296
Ojansuu;209
Ojantakanen;92
Ojantausta;49
Ojanto;28
Ojantola;21
Ojapalo;84
Ojapelto;73
Ojaranta;146
Ojares;21
Ojasalo;69
Ojasti;26
Ojatalo;76
Ojava;23
Ojavalli;24
Ojavuo;38
Ojell;30
Ojennus;55
Ojonen;29
Ojuri;33
Ojutkangas;117
Ojuva;54
Oker-Blom;24
Okka;46
Okker;106
Okkeri;40
Okko;131
Okkola;85
Okkolin;42
Okkonen;1120
Oksa;1107
Oksaharju;55
Oksala;359
Oksalahti;24
Oksama;32
Oksanen;6805
Oksava;21
Oksi;37
Oksiala;24
Oksjärvi;20
Oksjoki;20
Oksman;914
Okuloff;22
Okulov;26
Ola;25
Olá;33
Olamo;28
Olán;23
Olander;439
Ölander;99
Olanterä;51
Olaussen;23
Oldén;31
Oldenburg;55
Oleander;33
Olenius;377
Olifirenko;24
Olin;744
Öling;114
Oljakka;89
Oljemark;107
Öljymäki;73
Olkanen;23
Olkinuora;370
Olkkola;289
Olkkonen;1327
Olkku;40
Olkoniemi;39
Ollakka;160
Ollanketo;327
Ollaranta;51
Ollas;119
Ollberg;34
Ollenberg;48
Öller;28
Olli;1009
Ollikainen;3248
Ollikka;154
Ollikkala;216
Ollila;3272
Ollilainen;211
Ollinaho;21
Ollinen;113
Ollinkangas;28
Ollinmäki;33
Ollinpoika;27
Ollitervo;135
Ollonberg;21
Ollonen;199
Ollonqvist;150
Ollqvist;35
Ollula;42
Ollus;58
Olmala;50
Olofsson;140
Olonen;28
Olsbo;90
Olsen;213
Olsén;42
Olshin;40
Olson;44
Olsoni;38
Olsson;527
Öman;89
Omar;399
Omenainen;28
Omer;66
Omerovic;21
Ömossa;26
Onali;37
Onatsu;126
O'Neill;33
Onikki;101
Onjukka;36
Onkalo;130
Onkamo;215
Onkila;21
Onkinen;29
Onnela;579
Onnelainen;33
Onnenlehto;29
Onni;20
Onnila;33
Onninen;69
Onniselkä;32
Ontermaa;23
Ontero;58
Ontronen;85
Ontto;20
Onttonen;98
Ontto-Panula;30
Oo;21
Öörni;46
Oosi;32
Opara;24
Opas;111
Ora;235
Orädd;48
Orajärvi;177
Oral;25
Orama;25
Oranen;345
Oranne;22
Oranta;29
Oras;165
Orasmaa;54
Orava;1385
Oravainen;379
Oravakangas;98
Oravala;119
Oravamäki;39
Oravasaari;144
Oraviita;24
Oravisjärvi;60
Oravuo;34
Orbinski;116
Ordén;46
Ordning;42
Orell;163
Orelma;74
Orenius;150
Oresmaa;25
Orhanen;54
Orho;26
Orimus;35
Orispää;38
Orivuori;41
Orjala;129
Orjasniemi;56
Orjatsalo;48
Orko;41
Orkola;69
Örling;74
Orllati;20
Orlo;23
Orlov;28
Orlova;37
Ormio;34
Ormiskangas;48
Ormo;26
Örn;509
Örnberg;83
Örnmark;60
Orola;28
Orpana;481
Orpo;25
Orrain;29
Orrainen;34
Orre;404
Orrenmaa;142
Orrensalo;25
Orreveteläinen;64
Örri;26
Örså;27
Orsila;26
Orte;27
Ortela;27
Orti;33
Ortila;28
Ortiz;29
Ortju;59
Orttenvuori;33
Orvasto;49
Orvola;23
Osa;28
Osala;74
Osanen;32
Osara;117
Osenius;40
Osipova;20
Oskarsson;27
Oslanus;38
Osma;39
Osmala;112
Osman;402
Osmani;67
Osmo;43
Osmonen;88
Osmosalo;20
Osola;88
Osolanus;26
Ossi;121
Öst;170
Ostamo;29
Östberg;107
Öster;205
Österåker;102
Österås;24
Österback;108
Österbacka;93
Österberg;1028
Österblad;95
Österdahl;49
Östergård;204
Österholm;495
Österlund;952
Österman;728
Östermark;43
Österroos;25
Östersund;23
Östling;33
Östlund;91
Östman;1091
Ostonen;49
Östring;122
Öström;152
Ostrovskij;21
O'Sullivan;25
Otamo;26
Otava;121
Othman;84
Otollinen;21
Otonkorpi;21
Otra-aho;60
Otranen;124
Otronen;41
Ots;27
Otsala;22
Otsamo;51
Otsomaa;24
Ottavainen;64
Ottela;42
Ottelin;144
Ottman;76
Otto;24
Ottola;24
Ottosson;61
Otva;21
Oukka;27
Oulasvirta;33
Oulujärvi;50
Ounaslehto;41
Ounasvuori;44
Ouni;65
Ounila;37
Ouninkorpi;21
Oura;35
Ourama;20
Ouramo;36
Ourila;25
Outakoski;26
Outavaara;27
Outila;151
Outinen;368
Ouvinen;40
Ovaska;1252
Ovaskainen;1254
Övergaard;20
Överholm;22
Övermark;213
Översti;167
Owen;27
Owens;27
Owusu;31
Oxman;23
Öysti;34
Öystilä;41
Özdemir;31
Özgür;22
Özkan;35
Öztürk;65
Pääaho;109
Paadar;95
Paaer;23
Paahtio;21
Paajala;38
Paajanen;1822
Pääjärvi;121
Paajaste;41
Paajoki;31
Pääjoki;26
Paakala;78
Paakinaho;86
Paakkala;55
Paakkanen;312
Paakkari;542
Paakkarinen;63
Paakki;578
Paakkinen;481
Paakko;69
Pääkkö;689
Paakkola;259
Pääkkölä;175
Paakkolanvaara;81
Paakkonen;299
Pääkkönen;2803
Paakkulainen;34
Paakkunainen;668
Paala;23
Pääläinen;28
Paalanen;576
Paalanko;24
Paalasmaa;58
Paalavuo;39
Paalijärvi;104
Paalimäki;36
Päällysaho;76
Paalosmaa;28
Paaluharju;22
Paanala;74
Paananen;5753
Paani;24
Paanila;29
Paappa;41
Paappanen;322
Paara;21
Päärilä;21
Paarlahti;32
Paarma;53
Päärni;113
Päärnilä;36
Paasela;48
Paasi;170
Paasiala;35
Paasikallio;81
Paasikangas;47
Paasikannas;26
Paasikivi;269
Paasikoski;91
Paasila;193
Paasilinna;36
Paasimaa;201
Paasio;185
Paasiranta;31
Paasisalo;76
Paasivaara;33
Paasivirta;112
Paasivuori;29
Paaskoski;27
Pääsky;81
Pääskylä;28
Pääskynen;86
Pääskynkivi;48
Pääskysaari;24
Pääskyvuori;35
Paaso;853
Paasolainen;58
Paasonen;1129
Paaso-Rantala;181
Paasovaara;226
Paassilta;73
Paassola;22
Paastela;35
Paasto;50
Paasu;46
Päätalo;250
Paatela;60
Paatelainen;187
Paatelma;40
Paatero;143
Paatola;59
Paatsola;24
Paattakainen;51
Paattilammi;37
Paattimäki;30
Paattiniemi;29
Paavilainen;2063
Paavisto;38
Paavola;3417
Paavolainen;299
Paavonen;89
Paavonkallio;43
Paavonperä;23
Paavonsalo;32
Paavoseppä;38
Packalen;160
Packalén;400
Pada;182
Padatsu;78
Padinki;45
Paetau;24
Påfs;59
Paganus;139
Page;21
Pahajoki;58
Pahalahti;23
Pahankala;40
Pahikainen;56
Pahikka-aho;40
Pahikkala;52
Pahkajärvi;34
Pahkakangas;76
Pahkala;535
Pahkamaa;63
Pahkamäki;63
Pahkasalo;163
Pahkin;27
Pahl;44
Pahlberg;21
Pahlman;127
Påhls;21
Pahlsten;24
Pahnila;31
Pahta;20
Pahtaharju;27
Pahtaja;20
Pähti;24
Pähtilä;88
Paija;221
Paijo;21
Paijola;25
Paijula;20
Paikkala;22
Paikkari;20
Paila;20
Paimela;22
Paimen;59
Painilainen;133
Paino;21
Painokallio;35
Paintola;29
Paitsola;31
Paitula;48
Päivä;49
Päivähonka;28
Päiväkumpu;23
Päiväläinen;87
Päivänen;49
Päiväniemi;262
Päivänsäde;54
Päivänsalo;69
Päivänurmi;71
Päiväpuro;26
Päivärinne;159
Päivärinta;1494
Päivätie;28
Päivelin;46
Päiveröinen;51
Päivike;63
Päivikkö;28
Päivinen;1261
Päiviö;221
Päivölä;43
Päivömaa;24
Pajakoski;25
Pajala;712
Pajamäki;187
Pajamo;33
Pajanen;86
Pajari;863
Pajarinen;502
Pajasmaa;21
Pajo;23
Paju;709
Pajuaho;24
Pajuaro;21
Pajukangas;228
Pajukanta;30
Pajukari;28
Pajukko;38
Pajukoski;275
Pajula;888
Pajulahti;138
Pajulampi;31
Pajuluoma;119
Pajumäki;96
Pajunen;2819
Pajuniemi;203
Pajuniva;22
Pajunoja;48
Pajunpää;72
Pajuoja;99
Pajuranta;70
Pajusalo;37
Pajusto;24
Pajusuo;36
Pajuvesi;22
Pajuvirta;21
Pakalén;93
Pakanen;525
Pakarainen;33
Pakari;41
Pakarinen;3665
Pakaslahti;71
Pakisjärvi;87
Pakka;214
Pakkala;824
Pakkanen;1746
Päkki;74
Päkkilä;577
Pakola;132
Pakomaa;25
Pakonen;126
Paksu;36
Paksunen;25
Paksuniemi;107
Pakula;62
Pälä;63
Palamaa;20
Palander;432
Palanen;37
Palani;112
Palanne;46
Paldan;113
Paldán;50
Paldanius;888
Palén;113
Palenius;375
Palho;39
Palhomaa;28
Pälikkö;24
Palin;500
Palinsaari;21
Paljakka;333
Päljänoja;34
Paljärvi;45
Palkama;26
Palkamo;30
Palkeinen;162
Palkén;50
Palkio;26
Palkki;64
Palkonen;49
Pallari;405
Pallas;118
Pallaskallio;27
Pallaskorpi;26
Pallaspuro;71
Palletvuori;38
Pälli;116
Pällijeff;23
Pallonen;141
Palm;1004
Palmamäki;32
Palmberg;98
Palmén;304
Palmer;37
Palmgren;412
Palmgrén;40
Palmi;178
Palminen;27
Palmio;69
Palmiola;26
Palmola;28
Palmqvist;97
Palmroos;522
Palmros;47
Palmroth;555
Palmu;1275
Palmujoki;47
Palmula;30
Palmulaakso;26
Palmulehto;22
Palmumaa;26
Palmumäki;21
Palmunen;244
Palo;1142
Paloaho;53
Paloheimo;350
Palohuhta;39
Palojärvi;525
Palojoki;120
Palokangas;915
Palokankare;47
Palokari;24
Palokas;91
Palokoski;65
Palola;867
Palolahti;64
Palolampi;36
Paloluoma;43
Paloluoto;31
Palomaa;315
Palomäki;2359
Palomurto;21
Palonen;1694
Paloneva;129
Paloniemi;805
Paloniitty;105
Palonkoski;29
Palo-oja;114
Paloposki;150
Paloranta;182
Palosaari;1407
Palosuo;53
Palotie;69
Palovaara;384
Palovainio;20
Paloviita;164
Palovirta;26
Palovuori;95
Palsa;74
Palsamäki;22
Palsanen;29
Palsi;22
Pälsi;22
Palsinajärvi;40
Palsio;26
Palsola;27
Pälsynaho;56
Paltamaa;37
Paltemaa;37
Paltta;54
Palttala;117
Paltto;83
Palukka;30
Palva;71
Palva-aho;36
Palvalin;34
Palvanen;71
Palve;22
Pälve;52
Pälvi;20
Palviainen;933
Pälvilä;37
Pälvimäki;49
Palvimo;63
Pamilo;36
Pamppunen;35
Pan;36
Pandey;29
Panelius;48
Panhelainen;47
Pankakoski;56
Pänkälä;37
Pänkäläinen;155
Pankinaho;31
Pankka;96
Pankkio;20
Pankko;23
Pankkonen;98
Pankolainen;23
Pannimaa;43
Pannula;265
Panschin;30
Pantolin;27
Pantsar;345
Pantsari;35
Pantsu;109
Pänttäjä;32
Pantti;56
Panttila;183
Pänttönen;38
Pantzar;75
Panu;99
Panula;427
Panula-Ontto;35
Panuma;57
Papadopoulos;32
Papinaho;155
Papinkivi;107
Papinniemi;94
Papinoja;43
Papinsaari;67
Pappi;61
Pappila;234
Pappinen;230
Papponen;32
Papula;40
Papunen;287
Paranko;34
Parantainen;301
Parantala;23
Pärhä;39
Parhankangas;34
Parhiala;321
Päri;27
Parikainen;22
Parikka;1177
Parisaari;25
Parjanen;249
Parjanne;22
Parjo;22
Park;25
Parkas;25
Parkatti;92
Parker;45
Pärkinen;26
Pärkkä;155
Parkkali;293
Parkkamäki;107
Parkkari;321
Parkkasaari;24
Parkki;67
Parkkila;894
Parkkima;82
Parkkinen;2601
Parkkisenniemi;204
Parkko;289
Parkkola;108
Parkkonen;1434
Parkkulainen;35
Parkkunen;45
Parkman;27
Pärkö;44
Parm;25
Parma;47
Parman;33
Parmanen;27
Parmola;20
Parmonen;35
Pärnä;42
Pärnäjärvi;24
Pärnänen;627
Paro;57
Paronen;556
Parpala;271
Parpola;57
Parppei;24
Parri;89
Pärri;23
Parrila;33
Parry;22
Parsa;23
Parsons;22
Pärssinen;994
Parta;102
Partala;347
Partamies;29
Partanen;7818
Partia;31
Partiainen;51
Partinen;378
Partio;243
Partonen;176
Parts;22
Partti;352
Parttimaa;291
Pärtty;28
Pärus;37
Parvela;81
Parvi;43
Parviainen;5868
Parvikoski;27
Parvinen;104
Parvio;27
Pasanen;4763
Pasenius;22
Pasi;246
Pasila;115
Pasinen;21
Pasio;21
Paski;91
Pasma;395
Paso;234
Pasonen;220
Passi;324
Passila;136
Pässilä;43
Passilahti;28
Passinen;52
Passiniemi;23
Passoja;166
Pastell;30
Pasternack;20
Pasti;22
Pastila;93
Pastinen;138
Pasto;110
Pastuhov;29
Pasula;106
Pasuri;191
Patajoki;31
Patala;135
Patama;266
Patamaa;20
Patana;176
Patanen;106
Pätäri;224
Patel;32
Pätiälä;60
Pätilä;97
Patinen;76
Patja;137
Patjas;316
Patokoski;167
Patola;37
Patomäki;49
Patomeri;27
Patomo;23
Patoranta;41
Patosalmi;145
Patovirta;31
Patovisti;25
Patrakka;163
Patrikainen;524
Patrikka;80
Patronen;373
Pätsi;614
Pått;94
Patteri;116
Patterson;21
Pättikangas;43
Pättiniemi;59
Paturi;56
Pätynen;102
Paukama;36
Paukamainen;31
Paukkala;29
Paukkeri;245
Paukkio;35
Paukkonen;301
Paukku;554
Paukkula;33
Paukkunen;653
Paukkuri;30
Paul;130
Paulaharju;53
Paulamäki;252
Paulaniemi;43
Paulanto;40
Paulasaari;119
Paulasto;26
Paulasuo;29
Pauli;21
Paulig;32
Paulin;209
Paulman;23
Paulo;27
Pauloff;20
Paulow;21
Paulsen;30
Paulsson;32
Paulus;132
Paumo;20
Pauna;274
Pauni;49
Pauniaho;23
Paunila;78
Paunio;32
Pauniranta;23
Paunonen;618
Paunu;106
Pauri;23
Pausio;31
Paussoi;23
Paussu;156
Pautamo;23
Pautola;20
Påvall;34
Pavlov;53
Pavlova;47
Paxal;27
Päykkönen;46
Payne;35
Pearson;25
Peci;125
Pedersen;206
Pehkonen;2364
Pehkoranta;33
Pehrman;31
Pehrsson;62
Pehu;27
Peijari;27
Peijariniemi;20
Peiju;42
Peipinen;22
Peiponen;536
Peippo;727
Peippola;44
Peipponen;21
Peisa;70
Peisanen;23
Peitsaho;27
Peitsalo;23
Peitso;77
Peittola;34
Pekala;48
Pekanpalo;26
Pekari;69
Pekarila;28
Pekkala;2382
Pekkalainen;22
Pekkalin;64
Pekkanen;1598
Pekkarinen;2199
Pekki;328
Pekkilä;28
Pekkinen;527
Pekko;32
Pekkola;745
Pekkonen;354
Pekola;215
Pekonen;743
Pekonmäki;30
Pekonniemi;44
Pekuri;130
Pekurinen;162
Pelamo;72
Pelander;253
Pelanteri;21
Pelasoja;26
Peled;23
Pelgonen;39
Pelho;40
Pelimanni;67
Pelin;40
Peljo;42
Pelkkala;43
Pelkkikangas;71
Pelkola;36
Pelkonen;3907
Pellas;137
Pellava;29
Pellfolk;44
Pelli;477
Pellikainen;117
Pellikka;1359
Pellilä;31
Pellinen;1462
Pellonpää;209
Pellonperä;77
Pellosniemi;25
Pelo;178
Pelto;163
Pelto-Arvo;44
Peltohaka;24
Pelto-Huikko;43
Peltokallio;27
Peltokangas;988
Peltokorpi;508
Pelto-Korpi;24
Peltokoski;166
Peltola;6879
Pelto-Lampola;22
Peltolehto;41
Peltoluhta;59
Peltomaa;1341
Peltomäki;1470
Peltonen;8217
Peltoniemi;2727
Peltoperä;163
Pelto-Piri;32
Peltopuro;33
Peltoranta;69
Peltorinne;30
Peltosaari;87
Peltosalmi;21
Peltotalo;37
Peltotupa;37
Peltovako;22
Peltovirta;51
Peltovuoma;60
Peltovuori;77
Pelttari;659
Pelvo;30
Pendolin;37
Peng;24
Penger;54
Pengerkoski;25
Peni;139
Penkari;24
Penkkala;36
